,precision,recall,f1-score,support
0,0.8105761641673244,0.7727614747930776,0.7912172573189522,1329.0
1,0.7876811594202898,0.816066066066066,0.801622418879056,1332.0
2,0.8117723156532989,0.8191906005221932,0.815464587394412,1532.0
accuracy,0.8034819937991892,0.8034819937991892,0.8034819937991892,0.8034819937991892
macro avg,0.8033432130803044,0.8026727137937789,0.80276808786414,4193.0
weighted avg,0.8037400939916656,0.8034819937991892,0.8033819567879869,4193.0
